"StrategyName"	"UD_Effects"	"UD_Costs"	"D_Effects"	"D_Costs"	"ICER"
NA	84024.1387362007	6029384000	3160.5701310143	915239843.231618	NA
NA	84963.3349645082	5434365900	3189.26182215827	701229332.985704	NA
NA	83730.5137598453	4841037300	3158.29151553556	533870821.149297	NA
NA	76474.3865615704	4246348500	2590.21927302104	402002595.024911	NA
NA	53512.4210637732	3649640100	1115.65902778163	297414942.541467	NA
NA	62553.6826181952	3161083200	2200.65832752356	480484684.827703	NA
NA	61731.2517052296	2807298000	2172.17647087909	368983024.434543	NA
NA	61604.1029260292	2566623700	2164.8681352968	285100546.46694	NA
NA	55763.2094453751	2212320600	1712.14043813231	215392381.17723	NA
NA	36606.9845835619	1967579500	469.598822924978	162796840.046787	NA
NA	42838.8599517425	2118553700	1325.27504283268	331896443.649296	NA
NA	43074.0727603593	1999700600	1366.239745039	259834203.685663	NA
NA	42502.3122821457	1761909100	1260.99890692442	199785968.701612	NA
NA	38485.3961022008	1523626600	998.566496417421	152135199.698863	NA
NA	21222.7123513423	1400325600	-147.619070329645	117113483.254254	NA
NA	27283.1605652311	1649607300	614.274472213117	258979687.968369	NA
NA	28257.1194351477	1533137400	647.824791926163	202635779.714713	NA
NA	25568.1565318974	1414239900	529.024119413603	158501860.432718	NA
NA	23280.7834324084	1170801100	360.395817373879	119763733.597952	NA
NA	8287.61281342595	1050601100	-646.82810827202	91691736.5248424	NA
NA	8032.32690444303	1416589300	-274.210755049076	216303730.408962	NA
NA	8709.80992834631	1297735900	-252.897875851399	169202768.888648	NA
NA	9375.23018699529	1178915300	-215.184460287157	132364955.758712	NA
NA	7699.41105086275	1060142300	-288.001570097811	103535829.190253	NA
NA	-4884.65547809168	937702600	-1124.36097408005	79457907.3581731	NA
NA	217.00862895872	1174456200	-572.321453549433	185374324.554774	NA
NA	2246.02346061019	1052218300	-449.090481633	144360252.330396	NA
NA	43.033854486479	930325400	-621.268322205404	111784980.433443	NA
NA	578.331569715228	809294200	-571.937917397503	86485981.6606634	NA
NA	-16314.7738467955	818233700	-1561.60165537489	69721252.4879384	NA
NA	-12989.2081937548	1055373600	-1067.6784809583	164698998.6205	NA
NA	-10904.0160556501	931206400	-1049.56838187489	128023413.796118	NA
NA	-9852.3019351585	806261800	-1131.88645334734	98706931.8122094	NA
NA	-10218.933864855	821013200	-1001.01650041659	80925904.2171221	NA
NA	-23524.6164347637	692903000	-1835.08592368243	61347911.3722893	NA
NA	-20153.758981857	931353100	-1466.89250775735	147872458.640452	NA
NA	-16915.2781502184	804560400	-1297.3039966998	114643574.539598	NA
NA	-28198.9459342416	815384900	-1833.80874140438	92156120.4158725	NA
NA	-17218.9364041758	691588100	-1308.82483462058	71963397.5009525	NA
NA	-25271.9352633493	560284700	-1932.260590676	53563471.7283253	NA
NA	-29074.6318281495	800764100	-1959.17713381098	133367871.862281	NA
NA	-31458.0227332987	814781900	-1789.17220813467	107819313.121561	NA
NA	-32100.5581050523	683427800	-2123.47309012206	82502884.8741037	NA
NA	-21203.4163020308	553649400	-1532.35242021245	63124258.7033406	NA
NA	-34777.2959842873	567290100	-2285.87598677952	51457054.4384253	NA
NA	-47354.7849424661	809753100	-2688.83078038107	125274552.308973	NA
NA	-33509.7290207997	678923500	-1991.76477190749	97483389.8255316	NA
NA	-47060.2632131664	690917500	-2691.73737701145	78165674.7526952	NA
NA	-34508.0018576265	560054400	-2011.02606311456	60640113.7839512	NA
NA	-48585.8509638831	572149100	-2759.65944263796	49349635.1755585	NA
NA	76397.4779099716	5482031000	3004.03044418941	893990666.159437	NA
NA	77083.9127875813	4887451400	3030.82943330696	680009561.254006	NA
NA	78186.4533495504	4293746000	3103.50144146847	512639045.75268	NA
NA	70061.1959768949	3699394600	2470.67791400928	380785408.343709	NA
NA	47240.7581350498	3102637500	982.817084864044	276198059.870386	NA
NA	56882.6971859969	2811436900	2089.74755568139	466748402.233788	NA
NA	58717.87722927	2573629200	2147.24981473484	359815072.170893	NA
NA	57857.8348324688	2216934300	2102.92975395163	271365532.069136	NA
NA	51991.3992142401	1978763700	1654.48519591222	206227705.229802	NA
NA	32719.9311871862	1617776000	400.737109437978	149050279.403055	NA
NA	40449.6840967747	1995457100	1274.93362014845	327036694.016356	NA
NA	41207.2087374554	1755145700	1367.03575131799	250386831.532513	NA
NA	39365.6980789452	1514797800	1226.66019132183	189738213.170871	NA
NA	36540.096365942	1400275100	943.588414141705	147250011.709629	NA
NA	20592.4756425678	1155917100	-92.8674636181386	107673759.834284	NA
NA	25781.4690427675	1520958400	601.400234716537	253868617.200885	NA
NA	28063.2387047155	1405290800	661.052889486338	197805972.871594	NA
NA	25081.8049689223	1157686100	567.593086200781	148247273.696902	NA
NA	22011.6816865197	1041161100	356.625638493555	114326388.389107	NA
NA	7697.07002192223	922304300	-655.492335826159	86585826.4518944	NA
NA	9457.10441498918	1285600500	-198.749631254497	211575660.685834	NA
NA	11104.9206572479	1166675100	-133.760364091213	164477677.707078	NA
NA	9412.75229923637	1047537700	-206.358392216614	127610468.908512	NA
NA	10353.3463260849	929264000	-183.059151166017	98817457.279263	NA
NA	-4399.63112234528	806551700	-1106.47005553078	74713231.6634737	NA
NA	2190.53046829836	1036813100	-483.146641782223	179839433.072723	NA
NA	4484.89814034244	913757200	-362.249965660201	138502769.477382	NA
NA	3528.81948299886	790410100	-490.151015646217	105570423.055154	NA
NA	225.498884679051	809207900	-589.274780794571	86491675.7011309	NA
